strain_pct,stress_090s,stress_0902s,stress_0904s,E90norm_090s,E90norm_0902s,E90norm_0904s
0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
0.1000,5.0000,6.0000,7.0000,1.0000,1.0000,1.0000
0.2000,10.0000,12.0000,14.0000,1.0000,1.0000,1.0000
0.3000,15.0000,18.0000,21.0000,0.9900,0.9900,0.9900
0.3500,17.5000,21.0000,24.5000,0.9700,0.9500,0.9300
0.4000,20.0000,23.5000,27.0000,0.9200,0.8800,0.8300
0.5000,22.0000,26.0000,30.0000,0.8500,0.7800,0.7100
0.6000,23.5000,28.0000,32.0000,0.7800,0.6900,0.6000
0.8000,26.0000,30.0000,34.0000,0.6600,0.5500,0.4600
1.0000,28.0000,31.0000,35.0000,0.5500,0.4500,0.3800
1.2000,29.0000,32.0000,36.0000,0.4800,0.3900,0.3200
1.5000,30.0000,32.5000,36.5000,0.4200,0.3400,0.2800
1.8000,30.5000,33.0000,37.0000,0.3800,0.3100,0.2600
2.0000,31.0000,33.0000,37.0000,0.3500,0.3000,0.2400
2.5000,31.5000,33.0000,37.0000,0.3200,0.3000,0.2200
